# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
17.68449	         1346.93362
17.69460	         1327.28923
17.70472	         1320.06705
17.71484	         1321.26825
17.72495	         1318.98765
17.73507	         1310.28428
17.74519	         1307.15526
17.75530	         1303.58522
17.76542	         1292.15715
17.77553	         1283.80552
17.78565	         1293.97370
17.79577	         1307.16583
17.80588	         1307.51840
17.81600	         1276.84401
17.82611	         1261.92333
17.83623	         1270.70208
17.84635	         1281.13857
17.85646	         1285.16534
17.86658	         1299.94111
17.87669	         1302.38817
17.88681	         1313.24647
17.89693	         1339.16657
17.90704	         1355.14956
17.91716	         1369.32632
17.92727	         1376.62531
17.93739	         1375.90356
17.94750	         1361.85918
17.95762	         1339.80020
17.96774	         1317.42108
17.97785	         1306.13138
17.98797	         1297.38345
17.99808	         1295.30338
18.00820	         1310.29115
18.01831	         1322.85201
18.02843	         1344.97693
18.03854	         1380.26328
18.04866	         1403.02091
18.05878	         1401.36614
18.06889	         1387.61874
18.07901	         1353.69777
18.08912	         1327.00370
18.09924	         1331.01863
18.10935	         1337.20482
18.11947	         1322.91707
18.12958	         1294.19441
18.13970	         1270.20091
18.14981	         1250.86789
18.15993	         1237.31210
18.17004	         1230.94221
18.18016	         1243.97043
18.19027	         1267.75793
18.20039	         1281.61107
18.21050	         1303.55229
18.22062	         1323.14741
18.23073	         1328.61567
18.24085	         1320.36671
18.25096	         1303.11505
18.26108	         1276.60133
18.27119	         1265.09387
18.28131	         1275.47799
18.29142	         1293.48852
18.30154	         1290.02512
18.31165	         1273.20893
18.32177	         1267.68507
18.33188	         1294.66447
18.34200	         1318.99344
18.35211	         1351.73473
18.36222	         1374.29248
18.37234	         1385.13620
18.38245	         1378.57390
18.39257	         1365.36375
18.40268	         1329.41930
18.41280	         1299.90616
18.42291	         1287.61977
18.43303	         1280.59523
18.44314	         1241.83468
18.45325	         1217.18896
18.46337	         1217.12397
18.47348	         1210.91651
18.48360	         1193.73749
18.49371	         1204.45987
18.50383	         1244.91221
18.51394	         1278.01525
18.52405	         1317.68026
18.53417	         1335.08148
18.54428	         1321.98007
18.55440	         1310.47667
18.56451	         1316.52658
18.57462	         1317.99138
18.58474	         1288.47363
18.59485	         1254.74780
18.60497	         1259.02676
18.61508	         1303.91973
18.62519	         1337.40035
18.63531	         1341.64384
18.64542	         1327.81814
18.65554	         1298.28249
18.66565	         1280.51545
18.67576	         1272.42958
18.68588	         1245.94296
18.69599	         1238.65975
18.70610	         1254.19432
18.71622	         1269.06958
18.72633	         1268.80893
18.73644	         1269.99645
18.74656	         1275.88710
18.75667	         1285.28156
18.76679	         1299.05288
18.77690	         1307.71491
18.78701	         1318.69081
18.79713	         1329.89621
18.80724	         1335.66261
18.81735	         1326.49192
18.82747	         1311.59384
18.83758	         1289.42666
18.84769	         1252.05429
18.85781	         1231.41748
18.86792	         1248.74886
18.87803	         1280.05897
18.88815	         1274.81954
18.89826	         1241.86956
18.90837	         1217.68271
18.91848	         1230.29217
18.92860	         1268.81153
18.93871	         1291.14019
18.94882	         1285.13019
18.95894	         1266.31282
18.96905	         1227.37462
18.97916	         1175.83326
18.98928	         1158.24857
18.99939	         1181.88445
19.00950	         1223.76707
19.01961	         1261.47544
19.02973	         1268.13150
19.03984	         1269.79430
19.04995	         1277.95316
19.06006	         1269.22907
19.07018	         1217.10101
19.08029	         1155.99245
19.09040	         1131.64144
19.10051	         1167.50749
19.11063	         1235.58195
19.12074	         1277.93586
19.13085	         1283.74395
19.14096	         1278.56229
19.15108	         1276.57320
19.16119	         1278.74622
19.17130	         1284.53260
19.18141	         1278.34930
19.19153	         1275.70066
19.20164	         1289.22484
19.21175	         1297.52436
19.22186	         1280.19323
19.23198	         1249.27295
19.24209	         1239.80252
19.25220	         1261.61380
19.26231	         1302.91511
19.27242	         1329.60787
19.28254	         1315.18589
19.29265	         1276.43198
19.30276	         1260.93691
19.31287	         1277.26445
19.32298	         1275.82783
19.33310	         1232.70734
19.34321	         1200.49877
19.35332	         1201.83216
19.36343	         1221.24051
19.37354	         1225.04046
19.38366	         1214.40873
19.39377	         1215.57725
19.40388	         1227.08772
19.41399	         1219.14843
19.42410	         1209.54937
19.43421	         1217.39593
19.44433	         1228.92558
19.45444	         1225.29310
19.46455	         1213.71239
19.47466	         1201.55316
19.48477	         1195.03638
19.49488	         1199.72136
19.50500	         1213.29224
19.51511	         1225.07861
19.52522	         1222.45072
19.53533	         1224.30527
19.54544	         1246.66453
19.55555	         1292.55234
19.56566	         1322.63303
19.57577	         1317.11884
19.58589	         1301.89401
19.59600	         1300.19243
19.60611	         1266.50745
19.61622	         1230.59976
19.62633	         1226.55349
19.63644	         1232.18721
19.64655	         1254.64056
19.65666	         1290.09803
19.66678	         1316.96068
19.67689	         1321.81839
19.68700	         1307.50252
19.69711	         1286.78681
19.70722	         1281.89910
19.71733	         1280.26456
19.72744	         1271.46770
19.73755	         1283.91918
19.74766	         1322.68559
19.75777	         1338.69650
19.76788	         1328.39471
19.77799	         1298.71313
19.78811	         1267.08809
19.79822	         1250.41063
19.80833	         1247.01823
19.81844	         1252.73174
19.82855	         1260.80541
19.83866	         1267.93600
19.84877	         1284.79486
19.85888	         1282.31822
19.86899	         1276.59933
19.87910	         1284.18842
19.88921	         1302.43085
19.89932	         1292.65471
19.90943	         1262.77416
19.91954	         1251.22887
19.92965	         1259.14843
19.93976	         1262.93302
19.94987	         1250.14457
19.95998	         1225.20257
19.97009	         1223.91974
19.98020	         1249.13161
19.99031	         1258.75876
20.00042	         1242.04502
20.01053	         1243.46415
20.02064	         1261.45566
20.03075	         1258.52272
20.04086	         1245.54711
20.05097	         1249.74147
20.06108	         1263.01729
20.07119	         1280.66627
20.08130	         1307.96154
20.09141	         1322.96746
20.10152	         1329.34226
20.11163	         1329.28565
20.12174	         1316.84219
20.13185	         1295.00582
20.14196	         1286.45164
20.15207	         1275.46473
20.16218	         1265.84820
20.17229	         1276.10429
20.18240	         1306.99963
20.19251	         1333.26215
20.20262	         1325.46369
20.21273	         1305.10272
20.22284	         1286.05523
20.23295	         1259.76111
20.24306	         1249.51605
20.25317	         1248.96550
20.26328	         1261.77871
20.27339	         1275.42376
20.28350	         1291.02026
20.29361	         1310.24531
20.30372	         1331.12266
20.31382	         1342.62738
20.32393	         1322.30420
20.33404	         1312.96485
20.34415	         1307.66960
20.35426	         1297.35418
20.36437	         1288.76880
20.37448	         1291.29663
20.38459	         1299.97788
20.39470	         1282.74029
20.40481	         1261.15371
20.41492	         1240.17558
20.42502	         1243.69971
20.43513	         1263.00151
20.44524	         1300.15391
20.45535	         1334.92929
20.46546	         1335.87807
20.47557	         1325.82558
20.48568	         1308.48316
20.49579	         1293.40809
20.50590	         1282.34521
20.51600	         1275.99863
20.52611	         1286.37156
20.53622	         1303.89535
20.54633	         1314.75539
20.55644	         1312.54176
20.56655	         1296.07017
20.57666	         1272.06127
20.58676	         1258.89379
20.59687	         1252.12357
20.60698	         1242.95185
20.61709	         1243.96216
20.62720	         1248.68983
20.63731	         1248.64992
20.64742	         1244.63484
20.65752	         1251.45761
20.66763	         1262.14740
20.67774	         1274.66091
20.68785	         1272.27205
20.69796	         1263.33733
20.70807	         1253.94938
20.71817	         1263.12317
20.72828	         1278.18137
20.73839	         1286.86592
20.74850	         1284.71176
20.75861	         1278.98889
20.76871	         1293.55217
20.77882	         1302.47170
20.78893	         1304.04642
20.79904	         1309.36105
20.80915	         1287.48318
20.81925	         1253.44839
20.82936	         1253.71069
20.83947	         1283.64254
20.84958	         1317.53614
20.85969	         1335.92314
20.86979	         1315.20240
20.87990	         1258.53085
20.89001	         1217.07536
20.90012	         1218.87501
20.91022	         1265.29271
20.92033	         1294.38483
20.93044	         1287.87391
20.94055	         1255.67865
20.95065	         1235.51032
20.96076	         1221.11747
20.97087	         1219.80369
20.98098	         1243.01968
20.99108	         1273.74825
21.00119	         1272.89021
21.01130	         1249.11682
21.02141	         1242.54656
21.03151	         1268.18879
21.04162	         1296.30194
21.05173	         1295.18783
21.06184	         1271.36655
21.07194	         1257.12680
21.08205	         1252.43478
21.09216	         1258.62019
21.10226	         1277.01819
21.11237	         1286.06159
21.12248	         1263.71585
21.13259	         1242.54491
21.14269	         1239.83504
21.15280	         1246.91442
21.16291	         1255.03188
21.17301	         1266.03742
21.18312	         1277.94785
21.19323	         1263.64764
21.20333	         1253.04018
21.21344	         1251.73225
21.22355	         1236.92756
21.23365	         1215.13520
21.24376	         1207.93564
21.25387	         1216.09201
21.26397	         1234.45333
21.27408	         1252.49894
21.28419	         1270.72210
21.29429	         1275.36208
21.30440	         1280.00781
21.31451	         1292.10871
21.32461	         1290.17225
21.33472	         1264.08093
21.34483	         1235.36916
21.35493	         1219.96224
21.36504	         1221.18281
21.37515	         1234.55737
21.38525	         1231.98129
